 League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address
WC,2017,Summer,International,SKT,1,0,C9,27,Huni,Maokai,Peanut,JarvanIV,Faker,Cassiopeia,Bang,KogMaw,Wolf,Janna,Impact,Nautilus,Contractz,RekSai,Jensen,Ryze,Sneaky,Tristana,Smoothie,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390223?gameHash=ec6e9d7a3ed5d7ae
WC,2017,Summer,International,EDG,0,1,AHQ,54,Mouse,Shen,Clearlove7,Sejuani,Scout,Lucian,iBoy,KogMaw,Meiko,Lulu,Ziv,Chogath,Mountain,Gragas,Westdoor,Corki,An,Twitch,Albis,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390235?gameHash=c189dadf45a5bc18
WC,2017,Summer,International,AHQ,0,1,C9,32,Ziv,Maokai,Mountain,JarvanIV,Westdoor,Cassiopeia,AN,KogMaw,Albis,Lulu,Impact,Nautilus,Contractz,Ezreal,Jensen,Ryze,Sneaky,Xayah,Smoothie,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380216?gameHash=23ce4724b19ff4f4
WC,2017,Summer,International,EDG,0,1,SKT,45,Mouse,Rumble,Clearlove7,RekSai,Scout,Lucian,iBoy,Xayah,Meiko,Janna,Huni,Chogath,Peanut,JarvanIV,Faker,Orianna,Bang,Twitch,Wolf,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380220?gameHash=f50a7c147d2973d4
WC,2017,Summer,International,SKT,1,0,AHQ,40,Huni,Chogath,Peanut,Sejuani,Faker,Fizz,Bang,Twitch,Wolf,Lulu,Ziv,Maokai,Mountain,Gragas,Chawy,Syndra,AN,Xayah,Albis,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390407?gameHash=ed6d163cd8300431
WC,2017,Summer,International,C9,1,0,EDG,39,Impact,Shen,Contractz,Graves,Jensen,Syndra,Sneaky,Xayah,Smoothie,Lulu,Mouse,Chogath,Clearlove7,JarvanIV,Scout,Lucian,iBoy,Varus,Meiko,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390418?gameHash=90e4cd74c1a4e2c1
WC,2017,Summer,International,AHQ,1,0,SKT,38,Ziv,Shen,Mountain,Sejuani,Westdoor,Fizz,AN,KogMaw,Albis,Janna,Huni,JarvanIV,Peanut,Gragas,Faker,Kassadin,Bang,Varus,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390761?gameHash=13d70884112f347c
WC,2017,Summer,International,EDG,1,0,C9,36,Mouse,Maokai,Clearlove7,JarvanIV,Scout,Galio,iBoy,Caitlyn,Meiko,Lulu,Impact,Chogath,Contractz,Graves,Jensen,Ryze,Sneaky,KogMaw,Smoothie,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380472?gameHash=f1de6926d1476c08
WC,2017,Summer,International,AHQ,0,1,EDG,25,Ziv,Jayce,Mountain,Sejuani,Chawy,Ryze,AN,KogMaw,Albis,Janna,Mouse,Maokai,Clearlove7,JarvanIV,Scout,Syndra,iBoy,Twitch,Meiko,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380481?gameHash=dcca81d9204a4ba6
WC,2017,Summer,International,C9,0,1,SKT,40,Impact,Maokai,Contractz,Ezreal,Jensen,Syndra,Sneaky,Xayah,Smoothie,Janna,Huni,Jayce,Blank,JarvanIV,Faker,Fizz,Bang,Twitch,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380485?gameHash=7a6d442651b3774a
