seed,CN1,CN2,CN3,EU1,EU2,EU3,KR1,KR2,KR3,LMS1,LMS2,LMS3,NA1,NA2,NA3,SEA1,TR1,VCS1,BR1,CIS1
CN1,0-0,4-3,0-0,3-1,1-1,2-3,1-3,0-4,0-5,2-1,3-1,0-0,0-0,1-1,1-1,0-0,0-2,0-0,1-1,0-0
CN2,3-4,0-0,3-2,1-6,5-0,6-2,0-3,4-9,3-3,0-0,2-0,0-0,3-1,2-0,1-0,2-0,2-0,0-0,0-0,2-0
CN3,0-0,2-3,0-0,0-2,4-0,0-0,0-2,0-2,4-3,5-1,0-0,0-0,1-1,0-0,5-6,0-0,0-0,0-0,0-0,0-0
EU1,1-3,6-1,2-0,0-0,2-0,4-4,0-2,2-3,1-3,2-3,0-0,0-0,6-2,0-3,3-3,3-0,2-0,0-0,1-1,1-1
EU2,1-1,0-5,0-4,0-2,0-0,0-0,1-4,2-3,0-5,2-0,1-1,0-0,2-2,1-1,1-4,3-0,0-0,0-0,2-0,5-0
EU3,3-2,2-6,0-0,4-4,0-0,0-0,2-9,2-2,1-3,0-0,4-2,0-0,1-3,7-2,4-1,6-1,0-0,0-0,0-0,0-0
KR1,3-1,3-0,2-0,2-0,4-1,9-2,0-0,5-7,2-6,4-3,0-0,0-0,2-0,3-1,6-1,4-0,0-0,0-0,0-0,1-1
KR2,4-0,9-4,2-0,3-2,3-2,2-2,7-5,0-0,6-6,3-3,1-3,0-0,5-1,1-0,6-0,3-0,2-0,0-0,2-0,0-0
KR3,5-0,3-3,3-4,3-1,5-0,3-1,6-2,6-6,0-0,2-0,0-0,0-0,1-1,4-0,5-1,0-0,2-0,0-0,2-0,2-0
LMS1,1-2,0-0,1-5,3-5,0-2,0-0,3-1,3-3,0-2,0-0,0-0,0-0,1-1,0-0,3-2,0-0,2-0,0-0,0-0,0-0
LMS2,1-3,0-2,0-0,0-0,1-1,2-4,0-0,3-1,0-0,0-0,0-0,0-0,1-3,0-0,0-2,0-0,0-0,0-0,3-1,0-0
LMS3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
NA1,0-0,1-3,1-1,2-6,2-2,3-1,0-2,1-5,1-1,1-1,3-1,0-0,0-0,2-0,1-0,0-1,0-0,0-0,1-1,0-0
NA2,1-1,0-2,0-0,3-0,1-1,2-7,1-3,0-1,0-4,0-0,0-0,0-0,0-2,0-0,0-0,2-2,0-0,0-0,0-0,1-3
NA3,1-1,0-1,6-5,4-3,3-1,1-4,1-6,0-6,1-5,2-3,2-0,0-0,0-1,0-0,0-0,3-0,0-0,0-0,2-0,0-0
SEA1,0-0,0-2,0-0,0-3,0-3,1-6,0-4,0-3,0-0,0-0,0-0,0-0,1-0,2-2,0-3,0-0,0-0,0-0,0-0,0-0
TR1,0-2,0-2,0-0,0-2,0-0,0-0,0-0,0-2,0-2,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
VCS1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
BR1,1-1,0-0,0-0,1-1,0-2,0-0,0-0,0-2,0-2,0-0,1-3,0-0,1-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0
CIS1,0-0,0-2,0-0,1-1,0-5,0-0,1-1,0-0,0-2,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0
